district,description,type,category,total17,total18,total19,total20,total21,ytd22,ytd21,last12mos,updated,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Murder,Violent,Murder,71,67,75,102,123,111,118,116,2022-12-04,300,100,64,54.7,-5.7,16,17.3,23.5,28.4,26.7,23.1
Citywide,All Other Homicides,Total/Subcategory,Total/Subcategory,4,8,3,7,11,2,11,2,2022-12-04,21,7,266.7,-33.3,-81.8,-71,0.7,1.6,2.5,0.5,1.6
Citywide,Aggravated Assault,Violent,Aggravated Assault,2536,2650,2744,3315,3559,2938,3399,3098,2022-12-04,9618,3206,29.7,12.9,-13,-3,632.5,764.1,820.4,714.1,739
Citywide,Aggravated Assault (Firearm),Total/Subcategory,Total/Subcategory,279,276,287,499,599,429,572,456,2022-12-04,1385,461.7,108.7,58.9,-23.9,-1,66.2,115,138.1,105.1,106.4
Citywide,Combined subtotal of homicides and firearms-related aggravated assaults,Total/Subcategory,Total/Subcategory,354,351,365,608,733,542,701,574,2022-12-04,1706,568.7,100.8,57.3,-21.7,1,84.1,140.1,169,132.3,131.1
Citywide,Aggravated Assault (Shooting occupied home or vehicle),Total/Subcategory,Total/Subcategory,196,217,243,425,531,319,514,336,2022-12-04,1199,399.7,118.5,38.3,-36.7,-16,56,98,122.4,77.5,92.1
Citywide,Aggravated Assault (Shooting unoccupied home or vehicle),Total/Subcategory,Total/Subcategory,77,84,117,216,263,154,257,160,2022-12-04,596,198.7,124.8,36.8,-39.2,-19,27,49.8,60.6,36.9,45.8
Citywide,Aggravated Assault (Non Firearm),Total/Subcategory,Total/Subcategory,1984,2073,2097,2175,2166,2036,2056,2146,2022-12-04,6438,2146,3.3,2.3,-0.9,0,483.4,501.4,499.3,494.7,494.7
Citywide,Sexual Assault,Violent,Sexual Assault,249,230,203,217,158,160,155,163,2022-12-04,578,192.7,-22.2,-19.7,3.2,-15,46.8,50,36.4,37.6,44.4
Citywide,Robbery,Violent,Robbery,2610,2567,2814,2417,2693,2488,2545,2636,2022-12-04,7924,2641.3,-4.3,-6.3,-2.1,-0,648.7,557.1,620.8,607.6,608.8
Citywide,Robbery (Firearm),Total/Subcategory,Total/Subcategory,989,857,1034,805,1109,1029,1030,1108,2022-12-04,2948,982.7,7.3,7.2,-0.1,13,238.3,185.6,255.6,255.4,226.5
Citywide,Robbery (Knife),Total/Subcategory,Total/Subcategory,160,174,140,173,112,93,107,98,2022-12-04,425,141.7,-20,-30,-12.5,-31,32.3,39.9,25.8,22.6,32.7
Citywide,Robbery (Strong-arm),Total/Subcategory,Total/Subcategory,1076,1201,1252,972,784,720,746,758,2022-12-04,3008,1002.7,-37.4,-39.5,-3.3,-24,288.6,224.1,180.7,174.7,231.1
Citywide,Robbery (other dangerous weapon),Total/Subcategory,Total/Subcategory,89,87,88,77,72,82,69,85,2022-12-04,237,79,-18.2,-3.4,18.1,8,20.3,17.7,16.6,19.6,18.2
Citywide,Residential Robbery,Total/Subcategory,Total/Subcategory,101,72,97,89,95,57,93,59,2022-12-04,281,93.7,-2.1,-39.2,-37.9,-37,22.4,20.5,21.9,13.6,21.6
Citywide,Carjacking,Total/Subcategory,Total/Subcategory,195,176,203,301,521,507,500,528,2022-12-04,1025,341.7,156.7,160.1,1.3,55,46.8,69.4,120.1,121.7,78.8
Citywide,Burglary,Property,Burglary,12932,10610,14988,8689,10197,10907,9673,11431,2022-12-04,33874,11291.3,-32,-23.7,12.1,1,3454.9,2002.9,2350.5,2634.9,2602.7
Citywide,Burglary (Motor Vehicle),Total/Subcategory,Total/Subcategory,10379,8228,12364,6221,8179,8473,7766,8886,2022-12-04,26764,8921.3,-33.8,-28.1,8.6,-0,2850,1434,1885.3,2048.3,2056.4
Citywide,Burglary (Residential),Total/Subcategory,Total/Subcategory,1929,1614,1809,1247,1055,968,1012,1011,2022-12-04,4111,1370.3,-41.7,-44.1,-4.2,-26,417,287.4,243.2,233,315.9
Citywide,Burglary (Commercial),Total/Subcategory,Total/Subcategory,417,606,623,958,670,1225,668,1227,2022-12-04,2251,750.3,7.5,97,83.1,64,143.6,220.8,154.4,282.8,173
Citywide,"Burglary (Boats, Aircraft, Other)",Total/Subcategory,Total/Subcategory,137,129,168,191,166,128,164,130,2022-12-04,525,175,-1.2,-22.6,-21.7,-26,38.7,44,38.3,30,40.3
Citywide,Burglary (Unknown),Total/Subcategory,Total/Subcategory,70,33,24,72,127,113,63,177,2022-12-04,223,74.3,429.2,637.5,39.4,138,5.5,16.6,29.3,40.8,17.1
Citywide,Motor Vehicle Theft,Property,Motor Vehicle Theft,6938,6208,6482,8722,9010,9056,8622,9444,2022-12-04,24214,8071.3,39,45.7,4.8,17,1494.2,2010.5,2076.9,2176.9,1860.5
Citywide,Larceny,Property,Larceny,6220,6628,7768,5974,6186,7275,6046,7415,2022-12-04,19928,6642.7,-20.4,-4.5,19.9,12,1790.6,1377.1,1425.9,1709.2,1531.2
Citywide,Arson,Property,Arson,151,196,152,193,170,154,167,157,2022-12-04,515,171.7,11.8,3.3,-7.6,-9,35,44.5,39.2,36.2,39.6
Citywide,Total,Total/Subcategory,Total/Subcategory,31711,29164,35229,29636,32107,33091,30736,34462,2022-12-04,96972,32324,-8.9,-2.2,7.3,7,8120.6,6831.4,7400.9,7943.8,7451
